,Date,BTC_Price,BTC_Market_Cap,Gold_Price,IGREA,interest_rate,NASDAQ_Price,SP_500_Price,BTC_Volatility,BTC_7day_momentum,BTC_14day_momentum,BTC_30day_momentum,RSI_14,time_idx,id,day_of_week,month,quarter
2052,2021-03-28,0.763627688443455,0.7289402744251511,0.47886322517968904,0.6908896072788997,0.005671077504725899,0.6169334958670042,0.5589744925874783,0.21507371919308974,0.3648089853283392,0.23689558186898257,0.33590045495562115,0.3831019500263687,2052,BTC,6,3,1
2053,2021-03-29,0.7883667961283187,0.7432036787719027,0.46479785429176845,0.6908896072788997,0.005671077504725899,0.6114351199288486,0.5580886376071493,0.18446673254446821,0.4372339770717574,0.2922798865021718,0.3521828517198888,0.5302483452497765,2053,BTC,0,3,1
2054,2021-03-30,0.8024879024440178,0.7620812957196973,0.44565684155690566,0.6908896072788997,0.005671077504725899,0.610443506916605,0.5548318178265287,0.18508425070048592,0.4469607722143441,0.29511155429355346,0.3757533537379396,0.5377390916144865,2054,BTC,1,3,1
2055,2021-03-31,0.8028378889049588,0.7666024663907518,0.461292071157542,0.6908896072788997,0.0037807183364839307,0.624454039154111,0.5585576196555587,0.15076268238687543,0.4806483734229011,0.27184967561750034,0.3258514211677958,0.4748951944916291,2055,BTC,2,3,1
2056,2021-04-01,0.803334081510589,0.7690062885393497,0.47760311437441494,0.7642299823371234,0.005671077504725899,0.6406731007933599,0.5708032620306923,0.1282253354104509,0.501801126875461,0.28267479325332945,0.3395853697175304,0.5110174416022497,2056,BTC,3,4,2
2057,2021-04-02,0.8061842768251014,0.7742330538624874,0.4766597912017515,0.7642299823371234,0.005671077504725899,0.6406731007933599,0.5708032620306923,0.056453054672504915,0.44455631787260674,0.28060871240867796,0.31775840245053566,0.5047125989557444,2057,BTC,4,4,2
2058,2021-04-03,0.7811530495536727,0.7698424104253918,0.4766597912017515,0.7642299823371234,0.005671077504725899,0.6406731007933599,0.5708032620306923,0.09492827384535135,0.40401061914450004,0.2608470167368139,0.3228049100760909,0.4411122749276918,2058,BTC,5,4,2
2059,2021-04-04,0.7959184569589157,0.7538027181133745,0.4766597912017515,0.7642299823371234,0.005671077504725899,0.6406731007933599,0.5708032620306923,0.09891882907294001,0.4204061125664284,0.2802166192122206,0.32817651969818173,0.4998328195386067,2059,BTC,6,4,2
2060,2021-04-05,0.8036376659151677,0.7587296633371583,0.4763782021949864,0.7642299823371234,0.005671077504725899,0.656352546936465,0.5859149058127721,0.0799656815869527,0.4019569562326032,0.320908966192449,0.3331423500621099,0.637537388209377,2060,BTC,0,4,2
2061,2021-04-06,0.7942450564266924,0.7638104932409384,0.48702930637587916,0.7642299823371234,0.005671077504725899,0.6558511773839912,0.5848727234829735,0.07600366697831258,0.3780869262212296,0.309440093631115,0.3030100430237172,0.597520249102463,2061,BTC,1,4,2
